i,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],beta_0,beta_1,n_absent,n_present,n_subj,rho,sigma,tau_0,tau_1
Intercept,588.874,43.391,13.571,0.0,503.83,673.918,650,30,150,150,6,0.35,175,80,15
category[T.present],33.535,11.735,2.858,0.004,10.535,56.536,650,30,150,150,6,0.35,175,80,15
Group Var,11090.213,40.675,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,1094.967,8.091,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,413.745,2.975,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,674.664,43.189,15.621,0.0,590.015,759.312,650,30,150,150,6,0.35,175,80,15
category[T.present],21.046,8.85,2.378,0.017,3.7,38.391,650,30,150,150,6,0.35,175,80,15
Group Var,10993.854,41.147,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-678.3,6.375,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,74.368,1.728,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,601.118,30.051,20.003,0.0,542.218,660.017,650,30,150,150,6,0.35,175,80,15
category[T.present],19.528,11.375,1.717,0.086,-2.767,41.823,650,30,150,150,6,0.35,175,80,15
Group Var,5204.807,19.169,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-1180.707,6.201,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,348.965,2.747,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,640.722,62.535,10.246,0.0,518.155,763.289,650,30,150,150,6,0.35,175,80,15
category[T.present],12.094,8.078,1.497,0.134,-3.739,27.927,650,30,150,150,6,0.35,175,80,15
Group Var,23268.462,87.933,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-73.256,12.851,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,0.249,,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,666.214,27.11,24.575,0.0,613.08,719.348,650,30,150,150,6,0.35,175,80,15
category[T.present],46.638,9.195,5.072,0.0,28.616,64.661,650,30,150,150,6,0.35,175,80,15
Group Var,4208.312,9.052,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-102.744,,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,104.803,,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,612.943,35.51,17.261,0.0,543.344,682.543,650,30,150,150,6,0.35,175,80,15
category[T.present],46.634,11.486,4.06,0.0,24.122,69.146,650,30,150,150,6,0.35,175,80,15
Group Var,7370.423,27.982,,,,,650,30,150,150,6,0.35,175,80,15
Group x category[T.present] Cov,-214.345,6.481,,,,,650,30,150,150,6,0.35,175,80,15
category[T.present] Var,400.549,2.928,,,,,650,30,150,150,6,0.35,175,80,15
Intercept,625.513,20.471,30.557,0.0,585.392,665.635,650,30,150,150,7,0.35,175,80,15
category[T.present],18.09,9.142,1.979,0.048,0.172,36.007,650,30,150,150,7,0.35,175,80,15
Group Var,2729.895,9.71,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,24.77,3.09,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,178.148,1.936,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,636.158,33.688,18.884,0.0,570.13,702.185,650,30,150,150,7,0.35,175,80,15
category[T.present],29.851,11.186,2.669,0.008,7.927,51.774,650,30,150,150,7,0.35,175,80,15
Group Var,7740.883,26.301,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-539.976,6.408,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,469.088,2.9,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,616.018,25.528,24.131,0.0,565.984,666.052,650,30,150,150,7,0.35,175,80,15
category[T.present],21.959,12.476,1.76,0.078,-2.493,46.411,650,30,150,150,7,0.35,175,80,15
Group Var,4358.309,15.109,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-282.035,5.335,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,682.502,3.606,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,660.013,39.218,16.829,0.0,583.147,736.879,650,30,150,150,7,0.35,175,80,15
category[T.present],17.311,9.223,1.877,0.061,-0.766,35.387,650,30,150,150,7,0.35,175,80,15
Group Var,10563.677,36.133,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,1417.077,7.82,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,190.095,3.844,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,637.15,38.247,16.659,0.0,562.186,712.113,650,30,150,150,7,0.35,175,80,15
category[T.present],30.623,9.037,3.388,0.001,12.91,48.336,650,30,150,150,7,0.35,175,80,15
Group Var,10032.777,33.574,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,185.166,5.602,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,157.074,1.875,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,637.796,13.407,47.572,0.0,611.518,664.073,650,30,150,150,7,0.35,175,80,15
category[T.present],26.56,11.477,2.314,0.021,4.067,49.054,650,30,150,150,7,0.35,175,80,15
Group Var,1057.698,4.616,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,742.214,2.226,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,520.877,2.383,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,651.424,21.418,30.415,0.0,609.446,693.402,650,30,150,150,7,0.35,175,80,15
category[T.present],24.8,10.42,2.38,0.017,4.378,45.223,650,30,150,150,7,0.35,175,80,15
Group Var,2996.849,6.842,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-890.095,3.464,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,331.646,0.306,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,663.819,22.928,28.952,0.0,618.881,708.757,650,30,150,150,7,0.35,175,80,15
category[T.present],32.78,7.909,4.144,0.0,17.278,48.283,650,30,150,150,7,0.35,175,80,15
Group Var,3486.635,8.76,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-299.019,3.614,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,51.364,,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,564.158,14.885,37.902,0.0,534.984,593.332,650,30,150,150,7,0.35,175,80,15
category[T.present],36.23,10.825,3.347,0.001,15.014,57.446,650,30,150,150,7,0.35,175,80,15
Group Var,1357.983,5.519,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,767.983,3.312,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,434.369,3.549,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,641.782,36.83,17.425,0.0,569.595,713.968,650,30,150,150,7,0.35,175,80,15
category[T.present],35.03,7.873,4.449,0.0,19.599,50.461,650,30,150,150,7,0.35,175,80,15
Group Var,9298.125,31.896,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,147.927,4.819,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,39.372,1.459,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,639.927,20.366,31.422,0.0,600.01,679.843,650,30,150,150,7,0.35,175,80,15
category[T.present],46.179,13.623,3.39,0.001,19.478,72.88,650,30,150,150,7,0.35,175,80,15
Group Var,2693.17,6.928,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,874.172,5.493,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,878.784,,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,601.55,38.246,15.728,0.0,526.589,676.511,650,30,150,150,7,0.35,175,80,15
category[T.present],41.314,8.273,4.994,0.0,25.099,57.529,650,30,150,150,7,0.35,175,80,15
Group Var,10045.701,34.838,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,961.226,6.112,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,91.975,2.032,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,613.838,29.756,20.629,0.0,555.518,672.158,650,30,150,150,7,0.35,175,80,15
category[T.present],35.102,12.522,2.803,0.005,10.56,59.645,650,30,150,150,7,0.35,175,80,15
Group Var,5998.933,20.754,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-43.59,6.193,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,700.015,3.675,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,650.87,20.214,32.199,0.0,611.251,690.489,650,30,150,150,7,0.35,175,80,15
category[T.present],13.718,9.788,1.401,0.161,-5.467,32.903,650,30,150,150,7,0.35,175,80,15
Group Var,2651.422,9.553,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,819.131,3.887,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,253.066,3.008,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,616.231,29.102,21.175,0.0,559.193,673.27,650,30,150,150,7,0.35,175,80,15
category[T.present],12.546,12.466,1.006,0.314,-11.886,36.978,650,30,150,150,7,0.35,175,80,15
Group Var,5725.831,19.677,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,1171.424,6.368,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,682.427,3.606,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,647.098,34.725,18.635,0.0,579.038,715.157,650,30,150,150,7,0.35,175,80,15
category[T.present],32.771,9.626,3.404,0.001,13.904,51.638,650,30,150,150,7,0.35,175,80,15
Group Var,8236.674,27.898,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-820.569,5.964,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,240.632,2.144,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,698.47,36.544,19.113,0.0,626.845,770.096,650,30,150,150,7,0.35,175,80,15
category[T.present],9.342,13.584,0.688,0.492,-17.283,35.966,650,30,150,150,7,0.35,175,80,15
Group Var,9147.764,31.16,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-53.244,8.2,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,890.448,4.305,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,639.798,36.038,17.754,0.0,569.165,710.43,650,30,150,150,7,0.35,175,80,15
category[T.present],23.612,9.566,2.468,0.014,4.863,42.361,650,30,150,150,7,0.35,175,80,15
Group Var,8887.683,30.093,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,85.597,5.647,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,233.805,2.12,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,587.769,17.883,32.867,0.0,552.718,622.819,650,30,150,150,7,0.35,175,80,15
category[T.present],29.85,9.194,3.246,0.001,11.829,47.87,650,30,150,150,7,0.35,175,80,15
Group Var,2035.714,6.084,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,405.562,2.589,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,185.905,,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,673.044,33.533,20.071,0.0,607.321,738.768,650,30,150,150,7,0.35,175,80,15
category[T.present],31.753,7.968,3.985,0.0,16.135,47.37,650,30,150,150,7,0.35,175,80,15
Group Var,7662.823,26.447,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,461.374,7.049,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,27.781,,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,657.074,29.019,22.643,0.0,600.198,713.951,650,30,150,150,7,0.35,175,80,15
category[T.present],16.46,8.361,1.969,0.049,0.072,32.847,650,30,150,150,7,0.35,175,80,15
Group Var,5685.531,21.533,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,634.485,9.433,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,70.806,1.529,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,640.222,29.927,21.393,0.0,581.566,698.878,650,30,150,150,7,0.35,175,80,15
category[T.present],27.468,7.803,3.52,0.0,12.174,42.762,650,30,150,150,7,0.35,175,80,15
Group Var,6068.245,20.363,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,347.155,7.049,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,23.958,,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,646.716,16.203,39.913,0.0,614.959,678.474,650,30,150,150,7,0.35,175,80,15
category[T.present],14.569,8.281,1.759,0.079,-1.662,30.8,650,30,150,150,7,0.35,175,80,15
Group Var,1634.135,4.065,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,25.321,2.545,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,72.818,,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,678.562,14.655,46.303,0.0,649.839,707.285,650,30,150,150,7,0.35,175,80,15
category[T.present],43.306,9.517,4.55,0.0,24.652,61.959,650,30,150,150,7,0.35,175,80,15
Group Var,1299.5,4.97,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-34.023,2.346,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,226.417,2.096,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,637.054,28.253,22.548,0.0,581.678,692.429,650,30,150,150,7,0.35,175,80,15
category[T.present],41.735,8.598,4.854,0.0,24.883,58.588,650,30,150,150,7,0.35,175,80,15
Group Var,5375.09,18.09,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-90.665,3.949,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,92.231,1.676,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,620.2,36.38,17.048,0.0,548.897,691.502,650,30,150,150,7,0.35,175,80,15
category[T.present],42.792,7.872,5.436,0.0,27.363,58.222,650,30,150,150,7,0.35,175,80,15
Group Var,9054.746,30.301,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,364.14,5.16,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,14.644,1.81,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,677.244,33.07,20.479,0.0,612.427,742.061,650,30,150,150,7,0.35,175,80,15
category[T.present],29.801,12.069,2.469,0.014,6.146,53.456,650,30,150,150,7,0.35,175,80,15
Group Var,7445.549,24.942,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,1035.36,6.702,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,599.541,3.321,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,715.514,37.632,19.014,0.0,641.757,789.271,650,30,150,150,7,0.35,175,80,15
category[T.present],39.834,12.674,3.143,0.002,14.995,64.674,650,30,150,150,7,0.35,175,80,15
Group Var,9703.091,32.732,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,2614.199,9.985,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,704.315,4.547,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,636.656,23.657,26.912,0.0,590.289,683.023,650,30,150,150,7,0.35,175,80,15
category[T.present],16.321,9.423,1.732,0.083,-2.147,34.79,650,30,150,150,7,0.35,175,80,15
Group Var,3719.755,10.112,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,282.471,,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,225.986,,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,623.038,20.188,30.861,0.0,583.47,662.606,650,30,150,150,7,0.35,175,80,15
category[T.present],38.902,9.468,4.109,0.0,20.345,57.46,650,30,150,150,7,0.35,175,80,15
Group Var,2650.885,9.479,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-300.629,3.354,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,223.415,2.085,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,649.763,39.031,16.647,0.0,573.265,726.262,650,30,150,150,7,0.35,175,80,15
category[T.present],47.256,8.463,5.584,0.0,30.67,63.843,650,30,150,150,7,0.35,175,80,15
Group Var,10451.029,34.603,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,890.364,5.976,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,75.854,1.992,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,643.448,28.425,22.636,0.0,587.735,699.161,650,30,150,150,7,0.35,175,80,15
category[T.present],25.682,11.277,2.277,0.023,3.58,47.784,650,30,150,150,7,0.35,175,80,15
Group Var,5461.687,19.158,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,306.62,5.372,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,501.434,3.014,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,605.868,30.856,19.635,0.0,545.392,666.345,650,30,150,150,7,0.35,175,80,15
category[T.present],26.182,9.268,2.825,0.005,8.017,44.347,650,30,150,150,7,0.35,175,80,15
Group Var,6463.439,22.748,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,1133.402,6.495,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,198.749,,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,637.584,22.035,28.935,0.0,594.395,680.772,650,30,150,150,7,0.35,175,80,15
category[T.present],22.33,11.025,2.025,0.043,0.721,43.939,650,30,150,150,7,0.35,175,80,15
Group Var,3187.594,11.041,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-255.477,4.046,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,428.418,2.764,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,688.338,28.205,24.405,0.0,633.058,743.617,650,30,150,150,7,0.35,175,80,15
category[T.present],16.856,9.076,1.857,0.063,-0.933,34.644,650,30,150,150,7,0.35,175,80,15
Group Var,5361.137,18.256,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-347.186,4.342,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,161.943,1.889,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,598.909,30.508,19.631,0.0,539.114,658.704,650,30,150,150,7,0.35,175,80,15
category[T.present],30.339,11.999,2.529,0.011,6.823,53.856,650,30,150,150,7,0.35,175,80,15
Group Var,6310.86,21.521,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,738.953,6.104,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,598.97,3.327,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,605.934,18.279,33.149,0.0,570.108,641.76,650,30,150,150,7,0.35,175,80,15
category[T.present],15.669,13.496,1.161,0.246,-10.783,42.121,650,30,150,150,7,0.35,175,80,15
Group Var,2132.651,7.689,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,431.071,4.043,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,862.645,4.192,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,682.424,22.593,30.205,0.0,638.142,726.705,650,30,150,150,7,0.35,175,80,15
category[T.present],23.52,12.711,1.85,0.064,-1.393,48.433,650,30,150,150,7,0.35,175,80,15
Group Var,3371.757,11.898,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,1029.541,5.113,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,728.285,3.764,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,614.77,29.224,21.037,0.0,557.493,672.048,650,30,150,150,7,0.35,175,80,15
category[T.present],25.73,12.508,2.057,0.04,1.215,50.244,650,30,150,150,7,0.35,175,80,15
Group Var,5777.499,19.928,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,418.998,6.043,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,693.621,3.649,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,639.703,26.792,23.877,0.0,587.191,692.214,650,30,150,150,7,0.35,175,80,15
category[T.present],33.413,8.631,3.871,0.0,16.497,50.329,650,30,150,150,7,0.35,175,80,15
Group Var,4823.644,16.735,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,259.428,3.808,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,119.249,1.736,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,666.692,54.731,12.181,0.0,559.421,773.962,650,30,150,150,7,0.35,175,80,15
category[T.present],48.352,7.652,6.319,0.0,33.353,63.35,650,30,150,150,7,0.35,175,80,15
Group Var,20767.355,70.475,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,416.23,11.339,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,8.345,,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,636.401,27.974,22.75,0.0,581.572,691.229,650,30,150,150,7,0.35,175,80,15
category[T.present],41.951,10.594,3.96,0.0,21.187,62.715,650,30,150,150,7,0.35,175,80,15
Group Var,5280.079,18.393,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-220.803,5.018,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,390.186,2.638,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,687.226,31.125,22.079,0.0,626.222,748.231,650,30,150,150,7,0.35,175,80,15
category[T.present],26.373,9.519,2.771,0.006,7.716,45.03,650,30,150,150,7,0.35,175,80,15
Group Var,6579.013,22.511,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-544.336,5.169,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,229.428,2.106,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,682.072,16.849,40.483,0.0,649.05,715.095,650,30,150,150,7,0.35,175,80,15
category[T.present],29.362,7.976,3.681,0.0,13.729,44.994,650,30,150,150,7,0.35,175,80,15
Group Var,1779.222,6.55,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,229.183,2.304,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,29.521,1.633,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,587.688,20.318,28.924,0.0,547.866,627.511,650,30,150,150,7,0.35,175,80,15
category[T.present],25.421,11.714,2.17,0.03,2.461,48.381,650,30,150,150,7,0.35,175,80,15
Group Var,2677.433,9.399,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,1197.842,4.467,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,535.898,3.203,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,685.098,20.027,34.209,0.0,645.846,724.35,650,30,150,150,7,0.35,175,80,15
category[T.present],32.835,12.479,2.631,0.009,8.377,57.294,650,30,150,150,7,0.35,175,80,15
Group Var,2614.912,9.556,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,-96.935,4.261,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,704.885,3.708,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,625.693,15.644,39.995,0.0,595.031,656.355,650,30,150,150,7,0.35,175,80,15
category[T.present],40.42,8.297,4.872,0.0,24.159,56.682,650,30,150,150,7,0.35,175,80,15
Group Var,1509.36,5.664,,,,,650,30,150,150,7,0.35,175,80,15
Group x category[T.present] Cov,168.924,2.123,,,,,650,30,150,150,7,0.35,175,80,15
category[T.present] Var,74.138,1.594,,,,,650,30,150,150,7,0.35,175,80,15
Intercept,611.211,14.3,42.742,0.0,583.184,639.239,650,30,150,150,7,0.35,175,80,15
category[T.present],37.418,8.466,4.42,0.0,20.825,54.011,650,30,150,150,7,0.35,175,80,15
